職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
PHP後端工程師(內湖),瀚宇彩晶股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7n726?jobsource=hotjob_chr,"1.公司數位平台網站服務(官網/電商科技/行銷業務客服科技, 以及工廠/品質/運籌/供應鏈科技, HR科技)等Web後端開發。
2.電商網站開發。
3.正逆資訊流/金流/物流開發。
4.介接公司核心系統如ERP/PLM/PIM。",大學、碩士,資訊管理相關、資訊工程相關、工程學科類,CSS,"1. 具3年以上PHP開發經驗，並有使用過任一種PHP Framework(如：Laravel、CodeIgniter、Magento)。
2. 了解HTML、CSS等Web技術。
3. 有電子商務、RESTful API、金流介接等相關經驗者尤佳。
4. 會使用GIT版本控制。
5. 有參與佈署網站(AWS/GCP/Azure/等)的經驗者尤佳。
6. 面試時請演示網站作品。"
Senior Backend Development / 資深後端工程師,新加坡商耐思人工智能有限公司台灣分公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7kmtt?jobsource=hotjob_chr,"【工作內容】
1.精進團隊開發流程、工具與架構技術
2.協助 PM 與客戶端溝通，了解需求後規劃並執行軟體架構與其模組之設計，且控管整體軟體交付進度
3.積極支援線上緊急問題處理
4.負責前後台網站的後端各類型服務建置與開發
5.具備團隊意識，能與團隊其它成員共同完成需求開發與解決線上問題
6.撰寫單元測試，整合測試程式碼，持續與團隊整合以交付高品質程式
7.參與架構設計與開發，支持系統持續演化改善以應對快速變動的需求

【技能需求】
1.精通 C#、ASP.Net MVC、T-SQL、Javascript
2.熟悉 .Net core 3.1 或 .Net 6
3.熟悉 MSTest / NUnit / xUNIT 任何一種單元測試框架
4.熟悉 Git 並能熟練運用於程式碼版本控管
5.會看執行計畫及擁有 Stored Procedure 效能調校經驗
6.曾使用 Jenkins 或 Gitlab CI 設計或實踐過 CI/CD 流程
7.瞭解或熟悉 Linux
8.Docker 經驗佳
9.有雲端經驗佳",專科、大學、碩士,資訊工程相關、資訊管理相關、應用數學相關,jQuery,"具備以下條件優先錄取：
熟悉 MySQL or MSSQL
- 熟悉 AWS ( or GCP/  Azure) 或具備 AWS認證證照
- 曾有 Pair programming 經驗
- 熟悉 Linux
- 熟悉 Redis / Mongo DB"
軟體工程師(Mobile Apps)_汐止U-TOWN,GARMIN_台灣國際航電股份有限公司,新北市汐止區,待遇面議,//www.104.com.tw/job/6rqol?jobsource=hotjob_chr,"【部門說明】
Garmin 近年來致力於穿戴式裝置與運動、戶外市場的發展，我們的團隊主要負責穿戴式及手持裝置的 App、網站，以及後端伺服器的開發及維運，包括 Garmin Connect™ App 、 Garmin Golf™ 、 Garmin Explore™ App 等手機 App 開發 (https://buy.garmin.com/en-US/US/cOnTheGo-cApps-p1.html)。
與全球接軌，我們的使用者遍及世界超過三十國，在美國、歐洲以及台灣都有開發團隊。工作內容包括與歐美團隊協同開發新功能，並與亞洲營運團隊合作針對亞洲市場進行開發及在地化。 台灣團隊人數超過四十人，包含伺服器後端程式開發／維運以及手機端的 iOS 與 Android App 開發，支援上百種 Garmin 裝置並服務上千萬的活躍使用者。

【工作內容/角色】
1. 設計及實作 Garmin 官方 Apps (Android 或 iOS) 的功能。並釐清與修正問題，以維護 App 的品質。
2. 與全球的工程師、UX 設計師及 PM 合作及討論。
3. 審查程式碼 (code review)，重構系統以改進設計、可讀性、可用性，以及效率。

【具備條件】
1. 資訊相關碩士畢業。
2. 熟悉程式設計 (不限語言，Swift 或 Kotlin 尤佳)、演算法、資料結構與設計模式 (Design Patterns)。
3. 有獨立解決問題的能力、能批判性思考、有良好的除錯與分析技能。
4. 有中大型應用產品的開發與設計經驗 (Android 與 iOS App 尤佳)。
5. 具備英文溝通 (TOEIC 700+) 與團隊合作能力。

【加分條件】
1. 熟悉 iOS 或 Android 開發與相關工具。
2. 熟悉 Asynchronous Programming，如 Coroutines、RxJava、RxSwift等。
3. 熟悉 Bluetooth/BLE 相關的協定。
4. 展示你/妳的 Mobile Apps。
",碩士,資訊工程相關、資訊管理相關,Kotlin,"***如欲應徵請投遞履歷至 Garmin官網https://www.garmin.com.tw/careers/jobs/，將優先審閱面試資格***

(投履歷時請一併檢附大學,研究所成績單,論文,作品集等資訊, 以利瞭解您的專業能力,謝謝)"
網站後端工程師 Back-End Developer,藍星球資訊股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/729sz?jobsource=hotjob_chr,"工作內容
1. 程式開發部分：與專案經理、設計師、前端工程師合作開發網站後端程式、資料庫系統相關程式
2. 系統維護部分：通常以遠端處理(95%)，惟因客戶網路及機房限制，無法遠端處理時需至客戶端進行Debug and Bug Fix(5%)

條件要求
1. 具有PHP或其他網站後端程式語言開發經驗。
2. 熟悉關聯式資料庫 eg: PostgreSQL, MySQL or NoSQL資料庫 eg: MongoDB、Redis。
3. 熟悉軟體版本控制 Git 以及相關管理平台使用經驗 eg: GitLab、GitHub。
4. 工作積極主動，擁有獨立思考和良好的溝通和邏輯能力，同時喜歡與團隊溝通思辨、合作解決問題並達成目標。

加分
1. 曾撰寫過其他程式語言如Python、Javascript等
2. 熟悉Linux系統指令
3. 具有Docker相關經驗
4. 了解Web框架如 Slim、Laravel
5. 了解Elasticsearch 和 Kibana應用
6. 了解前端如Vue/Element UI等
7. 了解Git flow/Github flow/Gitlab flow其一",專科、大學、碩士,不拘,Git,"***如欲應徵請投遞履歷至 Garmin官網https://www.garmin.com.tw/careers/jobs/，將優先審閱面試資格***

(投履歷時請一併檢附大學,研究所成績單,論文,作品集等資訊, 以利瞭解您的專業能力,謝謝)"
IC設計類:SoC Technical Lead (歡迎前後端設計者投遞，工作地點:竹北或台北),"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",新竹市,待遇面議,//www.104.com.tw/job/7miu1?jobsource=hotjob_chr,"As a SOC Engineering Leader , you will be responsible for assisting our customers successfully tape out from RTL to GDS by using Synopsys EDA tools. Your main focus will be in the areas of SOC system solutions like SOC design planning, DFT, MBIST, floorplanning, place and route, parasitic extraction, signal integrity analysis and prevention, IR drop/EM analysis and physical verification (DRC/LVS). A secondary focus will be in static timing analysis and formal verification. You will be working as a leader and member of the customer's IC design team, leveraging their experience and Synopsys' best practices to have immediate impact on their current project while transferring valuable knowledge for future projects.

Interacts regularly with customers to identify and eliminate barriers to project success. Plans and manages delivery of own project-related tasks. Leverages entire Synopsys team to ensure project success. Provides feedback to R&D/AE and SOC members on suggested issue solutions or tool enhancements. Works with or as Project Leader to develop technical proposals, working through project life cycle and produces consistently high quality technical solutions.

Typically requires BSEE or higher with 10+ years in physical design and front_end design role.
Familiar with Floorplan, Place and route, DRC/LVS, IR drop, EM and Signal Integrity etc.
Familiar with STA, DFT, MBIST, Formal Verification and Synthesis is required.
Demonstrate physical design implementation experience as an individual contributor or leading experience of bigger scale design.
Demonstrate solid verbal and written English communication skills, and customer interfacing skills.
Demonstrate the ability to work in a stressful environment with a broad array of individuals in a cross-functional team.
Is able to work on-site at customer premises, travel up to 30%, and put in long hours when required to meet customer deadline on specialized technical or business issues.
Our Silicon Design & Verification business is all about building high-performance and high-quality silicon chips—faster. We're the world's leading provider of solutions for designing and verifying advanced silicon chips. And we design the next-generation processes and models needed to manufacture those chips. We enable our customers to optimize chips for power, cost, and performance—eliminating months off their project schedules.
",大學以上,電機電子工程相關、數學及電算機科學學科類,Git,"***如欲應徵請投遞履歷至 Garmin官網https://www.garmin.com.tw/careers/jobs/，將優先審閱面試資格***

(投履歷時請一併檢附大學,研究所成績單,論文,作品集等資訊, 以利瞭解您的專業能力,謝謝)"
【採線上面談】Product Assistant ( 台中市政府旁 ),新加坡商鈦坦科技股份有限公司台灣分公司,台中市西屯區,待遇面議,//www.104.com.tw/job/6tn9t?jobsource=hotjob_chr,"你的工作是在寫【程式】還是完成【產品】? 
把功能完成只能叫做【程式】!
完成【程式】之外, 並考慮效能, 安全, 使用性, 維護成本, 花費的資源與時間等因素影響, 在折衷, 權衡之下達到客戶滿意的產出, 才是達到我們對【產品】的要求!
我們專門為國外客戶開發及維護跨國大型網站。
謝絕眼高手低的高材生, 歡迎有【熱忱】, 【追求極致】, 【樂於團隊合作】的夥伴一同打造一流的產品!

1.     了解網⾴後端相關技術之研究與具備基本除錯能⼒
2.     執⾏功能測試、驗證軟體功能與Bug追蹤
3.     需與產品負責人、軟體供應商及軟體工程師有效溝通與合作
4.     了解產品商業邏輯，產出測試報告、分析並提出優化建議
",不拘,不拘,PHP,"1. 有軟體產品相關測試經驗尤佳
2. 有基本程式語言能力，C# .Net, PHP 尤佳
3. 對物件導向程式設計有基本的認識
4. 具備細膩的心思，良好的溝通能力與執行力
"
Web前端工程師(內湖),瀚宇彩晶股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7n72r?jobsource=hotjob_chr,"1.公司數位平台網站服務(官網/電商科技/行銷業務客服科技, 以及工廠/品質/運籌/供應鏈科技, HR科技)等Web前端開發。
2.電商網站前端開發。
3.內部數位平台前端開發。",大學、碩士,資訊管理相關、資訊工程相關、工程學科類,CSS,"1. 具3年以上Web前端開發經驗。
2. 熟HTML5，CSS3，jQuery，JAVASCRIPT、div+css，熟練完成頁面架構和布局。
3. 具備Bootstrap響應式設計經驗，熟悉跨平台的工具及經驗。
4. 與UI/UX Designers、後端工程師協作，開發網頁前端互動式頁面。
5. 面試時請演示作品。"
初中階-JAVA 後端軟體工程師,聯訊網路有限公司,台中市西區,"月薪50,000元以上",//www.104.com.tw/job/7iy9s?jobsource=hotjob_chr,"1、參與系統的詳細功能設計,撰寫相關技術文檔
2、編寫軟體代碼、完成單元測試、協助測試
3、開發完成的程式完整滿足需求
4、負責解決開發過程中的技術問題
5、系統開發測試、部署和集成
6、完成部門交給的其他任務
7、對自我有要求，不任意擺爛，有良好的操守品行
8、上班時間彈性，工資可談
**初階、對後端有興趣者也歡迎投遞**
**公司也有提供前端職缺**
薪資級距：初階3萬8以上，中階5萬以上，依照能力技術調整，可談",大學、碩士,資訊管理相關、資訊工程相關、工程學科類,Oracle,"1、java基礎知識功底
     熟悉Spring Boot、Mybatis等框架的實現原理和相關應用場景者佳。
     熟悉多線程和線程池的相關實現原理。
2、熟悉消息中間件框架和分散式緩存框架:rocketmq、kafka和redis。
3、熟悉ElasticSearch及ELK在大數據系統中的應用。
4、有資料庫使用經驗者佳,Oracle，MySQL的使用,熟練操作Unix/Linux操作系統。
5、熟悉java、 web端相關技能:JSP, html、css/div、ajax、js和相關Jqeury的框架, React框架優先。
7、有較強的溝通協調能力和團隊精神、承壓能力和學習能力、良好的服務意識。
8、初階可，有基本java功底、對後端工作有興趣者歡迎加入。"
資訊助理工程師,博格科技股份有限公司,台北市大安區,"月薪32,000~35,000元",//www.104.com.tw/job/7hpcq?jobsource=hotjob_chr,"擔任工程師與客戶間的橋樑，提供技術方面與產品導入客戶端的支援，確保產品能依需求及進度完成與產品測試。

本公司為台灣商業流程軟體領導品牌，擁有上百家成功案例，服務客戶為80%以上之上市櫃公司。因應應用市場的成長，擴大招募銷售服務的團隊，希望有興趣在企業軟體產業發展的伙伴加入。
1.熟悉公司作業流程、產品或業務上所需之相關工程知識
2.回覆顧客應用技術的問題、回饋給相關單位，並提供產品技術諮詢
3.撰寫並提供客戶正確的產品規格與應用資訊，以供客戶參考
4.追蹤公司產品客戶端的進度，包括安裝出貨、教育訓練、上線等各階段客戶端的問題點，並加以收集、處理
5.提供客戶測試工具，分析並解決開發時發生的問題
6.負責技術支援文件的更新維護
7.資訊相關科系畢業
8.在主管帶領下進行學習
(1).前端網頁以Html、 JavaScript、JQuery應用為主。
(2).後端網頁以MVC、 .Net c#、SQL Server應用為主 。",大學,資訊工程相關、資訊管理相關,CSS,"1、java基礎知識功底
     熟悉Spring Boot、Mybatis等框架的實現原理和相關應用場景者佳。
     熟悉多線程和線程池的相關實現原理。
2、熟悉消息中間件框架和分散式緩存框架:rocketmq、kafka和redis。
3、熟悉ElasticSearch及ELK在大數據系統中的應用。
4、有資料庫使用經驗者佳,Oracle，MySQL的使用,熟練操作Unix/Linux操作系統。
5、熟悉java、 web端相關技能:JSP, html、css/div、ajax、js和相關Jqeury的框架, React框架優先。
7、有較強的溝通協調能力和團隊精神、承壓能力和學習能力、良好的服務意識。
8、初階可，有基本java功底、對後端工作有興趣者歡迎加入。"
後端工程師 (JAVA),暘昇資訊有限公司,台北市松山區,待遇面議,//www.104.com.tw/job/7cwgt?jobsource=jolist_b_relevance,"1. Web application 需求後端開發
2. 產品維護與需求開發
3. 針對需求可提出解決方案與技術可行性評估
4. 開發流程文件撰寫
5. 日常運作支持",專科以上,不拘,Java," * 具有JAVA後端開發經驗2年以上
* 熟悉標準 SQL 語法並具備資料庫設計能力
* 具備團隊合作精神、責任感強、溝通能力良好
* 熟悉Linux/Unix環境，包括shell script
* 具豐富物件導向設計與實作經驗和技術
* 對專案開發目標進行技術選型和決策，給出具體技術方案
* 熟悉 Git 版本控管 "
